id,odor,gill-attachment,ring-number,ring-type
2630,n,f,o,p
2631,n,f,o,e
2632,n,f,o,p
2633,n,f,o,p
2634,n,f,o,p
2635,n,f,o,p
2636,n,f,o,p
2637,n,f,o,p
2638,n,f,o,p
2639,n,f,o,p
2640,n,f,o,p
2641,n,f,o,p
2642,n,f,o,p
2643,n,f,o,p
2644,n,f,o,p
2645,n,f,o,p
2646,n,f,o,p
2647,n,f,o,p
2648,n,f,o,e
2649,n,f,o,p
2650,n,f,o,p
2651,n,f,o,p
2652,n,f,o,p
2653,n,f,o,p
2654,n,f,o,p
2655,n,f,o,p
2656,n,f,o,p
2657,n,f,o,p
2658,n,f,o,p
2659,n,f,o,p
2660,n,f,o,p
2661,n,f,o,p
2662,n,f,o,p
2663,n,f,o,p
2664,n,f,o,p
2665,n,f,o,p
2666,n,f,o,p
2667,n,f,o,p
2668,n,f,o,p
2669,n,f,o,p
2670,n,f,o,p
2671,n,f,o,p
2672,n,f,o,p
2673,n,f,o,p
2674,n,f,o,p
2675,n,f,o,p
2676,n,f,o,p
2677,n,f,o,p
2678,n,f,o,p
2679,n,f,o,p
2680,n,f,o,p
2681,n,f,o,p
2682,n,f,o,p
2683,n,f,o,p
2684,c,f,o,p
2685,n,f,o,p
2686,n,f,o,p
2687,n,f,o,p
2688,n,f,o,p
2689,n,f,o,p
2690,n,f,o,p
2691,n,f,o,e
2692,n,f,o,p
2693,n,f,o,p
2694,n,f,o,p
2695,n,f,o,p
2696,n,f,o,p
2697,n,f,o,p
2698,f,f,o,l
2699,n,f,o,p
2700,n,f,o,p
2701,n,f,o,p
2702,n,f,o,p
2703,n,f,o,p
2704,n,f,o,p
2705,n,f,o,p
2706,n,f,o,p
2707,n,f,o,p
2708,n,f,o,p
2709,n,f,o,p
2710,n,f,o,p
2711,n,f,o,p
2712,n,f,o,p
2713,n,f,o,p
2714,n,f,o,p
2715,n,f,o,p
2716,n,f,o,p
2717,n,f,o,p
2718,n,f,o,p
2719,n,f,o,p
2720,n,f,o,p
2721,n,f,o,p
2722,n,f,o,p
2723,n,f,o,p
2724,n,f,o,p
2725,n,f,o,p
2726,n,f,o,p
2727,n,f,o,p
2728,n,f,o,p
2729,n,f,o,p
2730,n,f,o,p
2731,n,f,o,e
2732,n,f,o,p
2733,n,f,o,p
2734,n,f,o,p
2735,n,f,o,p
2736,n,f,o,p
2737,n,f,o,p
2738,n,f,o,p
2739,n,f,o,p
2740,n,f,o,p
2741,n,f,o,p
2742,n,f,o,p
2743,n,f,o,p
2744,n,f,o,p
2745,n,f,o,p
2746,n,f,o,p
2747,n,f,o,p
2748,n,f,o,p
2749,n,f,o,p
2750,c,f,o,p
2751,n,f,o,p
2752,n,f,o,p
2753,n,f,o,p
2754,n,f,o,p
2755,n,f,o,p
2756,n,f,o,p
2757,n,f,o,p
2758,n,f,o,p
2759,n,f,o,p
2760,n,f,o,p
2761,n,f,o,p
2762,n,f,o,p
2763,n,f,o,p
2764,n,f,o,p
2765,n,f,o,p
2766,n,f,o,p
2767,f,f,o,l
2768,n,f,o,p
2769,n,f,o,p
2770,n,f,o,p
2771,f,f,o,l
2772,n,f,o,p
2773,n,f,o,p
2774,n,f,o,p
2775,n,f,o,p
2776,n,f,o,p
2777,n,f,o,p
2778,n,f,o,p
2779,n,f,o,p
2780,n,f,o,p
2781,n,f,o,p
2782,n,f,o,p
2783,n,f,o,p
2784,n,f,o,p
2785,n,f,o,p
2786,n,f,o,p
2787,n,f,o,p
2788,n,f,o,p
2789,n,f,o,e
2790,n,f,o,p
2791,n,f,o,p
2792,n,f,o,p
2793,n,f,o,p
2794,n,f,o,p
2795,n,f,o,p
2796,n,f,o,p
2797,n,f,o,p
2798,c,f,o,p
2799,n,f,o,p
2800,n,f,o,p
2801,n,f,o,p
2802,n,f,o,e
2803,n,f,o,p
2804,n,f,o,p
2805,n,f,o,p
2806,n,f,o,p
2807,n,f,o,p
2808,n,f,o,p
2809,n,f,o,p
2810,n,f,o,p
2811,n,f,o,p
2812,n,f,o,p
2813,n,f,o,p
2814,n,f,o,p
2815,n,f,o,p
2816,n,f,o,p
2817,n,f,o,p
2818,n,f,o,e
2819,n,f,o,p
2820,n,f,o,p
2821,n,f,o,p
2822,n,f,o,p
2823,n,f,o,p
2824,n,f,o,p
2825,n,f,o,p
2826,n,f,o,p
2827,n,f,o,p
2828,n,f,o,p
2829,n,f,o,p
2830,n,f,o,p
2831,n,f,o,p
2832,n,f,o,p
2833,n,f,o,p
2834,n,f,o,p
2835,n,f,o,p
2836,n,f,o,p
2837,n,f,o,p
2838,n,f,o,p
2839,n,f,o,p
2840,n,f,o,p
2841,n,f,o,p
2842,c,f,o,p
2843,n,f,o,p
2844,n,f,o,p
2845,n,f,o,e
2846,n,f,o,p
2847,n,f,o,p
2848,n,f,o,p
2849,n,f,o,p
2850,n,f,o,p
2851,n,f,o,p
2852,n,f,o,p
2853,n,f,o,p
2854,n,f,o,p
2855,n,f,o,p
2856,n,f,o,p
2857,n,f,o,p
2858,n,f,o,p
2859,n,f,o,p
2860,n,f,o,p
2861,c,f,o,p
2862,n,f,o,p
2863,n,f,o,p
2864,n,f,o,p
2865,n,f,o,p
2866,n,f,o,p
2867,n,f,o,p
2868,n,f,o,p
2869,n,f,o,p
2870,n,f,o,p
2871,n,f,o,p
2872,n,f,o,p
2873,n,f,o,p
2874,n,f,o,p
2875,n,f,o,p
2876,n,f,o,p
2877,n,f,o,p
2878,n,f,o,p
2879,n,f,o,p
2880,n,f,o,p
2881,n,f,o,p
2882,n,f,o,e
2883,n,f,o,p
2884,n,f,o,p
2885,n,f,o,p
2886,n,f,o,p
2887,n,f,o,p
2888,c,f,o,p
2889,n,f,o,p
2890,n,f,o,p
2891,n,f,o,e
2892,n,f,o,p
2893,c,f,o,p
2894,n,f,o,p
2895,n,f,o,p
2896,n,f,o,p
2897,n,f,o,p
2898,n,f,o,p
2899,n,f,o,p
2900,n,f,o,p
2901,n,f,o,p
2902,n,f,o,p
2903,n,f,o,p
2904,f,f,o,l
2905,n,f,o,p
2906,n,f,o,p
2907,n,f,o,p
2908,n,f,o,p
2909,n,f,o,p
2910,n,f,o,p
2911,n,f,o,p
2912,n,f,o,p
2913,n,f,o,p
2914,n,f,o,p
2915,n,f,o,p
2916,n,f,o,p
2917,n,f,o,p
2918,n,f,o,p
2919,n,f,o,p
2920,n,f,o,p
2921,n,f,o,p
2922,n,f,o,p
2923,n,f,o,p
2924,n,f,o,p
2925,n,f,o,p
2926,n,f,o,p
2927,f,f,o,l
2928,n,f,o,p
2929,n,f,o,p
2930,n,f,o,p
2931,n,f,o,p
2932,n,f,o,p
2933,n,f,o,p
2934,n,f,o,p
2935,n,f,o,p
2936,n,f,o,p
2937,n,f,o,p
2938,f,f,o,l
2939,n,f,o,p
2940,n,f,o,p
2941,n,f,o,p
2942,n,f,o,p
2943,n,f,o,p
2944,n,f,o,p
2945,n,f,o,p
2946,n,f,o,p
2947,n,f,o,p
2948,n,f,o,p
2949,n,f,o,p
2950,n,f,o,p
2951,n,f,o,p
2952,n,f,o,p
2953,n,f,o,p
2954,n,f,o,p
2955,n,f,o,p
2956,n,f,o,p
2957,n,f,o,p
2958,n,f,o,p
2959,n,f,o,p
2960,n,f,o,p
2961,n,f,o,p
2962,n,f,o,p
2963,n,f,o,p
2964,n,f,o,p
2965,n,f,o,p
2966,n,f,o,p
2967,n,f,o,e
2968,n,f,o,p
2969,n,f,o,p
2970,n,f,o,p
2971,n,f,o,p
2972,n,f,o,p
2973,n,f,o,p
2974,n,f,o,p
2975,n,f,o,p
2976,n,f,o,p
2977,n,f,o,p
2978,n,f,o,p
2979,n,f,o,p
2980,n,f,o,p
2981,n,f,o,p
2982,n,f,o,p
2983,n,f,o,p
2984,n,f,o,p
2985,n,f,o,p
2986,n,f,o,p
2987,n,f,o,p
2988,n,f,o,p
2989,n,f,o,p
2990,n,f,o,p
2991,f,f,o,l
2992,n,f,o,p
2993,n,f,o,p
2994,n,f,o,p
2995,n,f,o,p
2996,n,f,o,p
2997,n,f,o,p
2998,n,f,o,p
2999,n,f,o,p
3000,n,f,o,p
3001,n,f,o,p
3002,f,f,o,l
3003,n,f,o,p
3004,f,f,o,l
3005,c,f,o,p
3006,n,f,o,p
3007,n,f,o,p
3008,n,f,o,p
3009,n,f,o,p
3010,f,f,o,l
3011,n,f,o,p
3012,n,f,o,p
3013,n,f,o,p
3014,c,f,o,p
3015,n,f,o,p
3016,n,f,o,p
3017,f,f,o,l
3018,f,f,o,l
3019,n,f,o,p
3020,n,f,o,p
3021,n,f,o,p
3022,n,f,o,p
3023,n,f,o,p
3024,n,f,o,p
3025,n,f,o,p
3026,n,f,o,p
3027,c,f,o,p
3028,f,f,o,l
3029,n,f,o,p
3030,n,f,o,p
3031,n,f,o,p
3032,n,f,o,p
3033,n,f,o,p
3034,n,f,o,p
3035,f,f,o,l
3036,n,f,o,p
3037,n,f,o,p
3038,c,f,o,p
3039,n,f,o,p
3040,n,f,o,p
3041,f,f,o,l
3042,f,f,o,l
3043,n,f,o,p
3044,n,f,o,p
3045,n,f,o,p
3046,n,f,o,p
3047,n,f,o,p
3048,c,f,o,p
3049,n,f,o,p
3050,n,f,o,p
3051,n,f,o,p
3052,n,f,o,p
3053,c,f,o,p
3054,n,f,o,p
3055,n,f,o,p
3056,n,f,o,p
3057,n,f,o,p
3058,c,f,o,p
3059,c,f,o,p
3060,n,f,o,p
3061,f,f,o,l
3062,c,f,o,p
3063,f,f,o,l
3064,n,f,o,p
3065,f,f,o,l
3066,n,f,o,p
3067,n,f,o,p
3068,n,f,o,p
3069,c,f,o,p
3070,f,f,o,l
3071,n,f,o,p
3072,n,f,o,p
3073,n,f,o,p
3074,f,f,o,l
3075,n,f,o,p
3076,f,f,o,l
3077,n,f,o,p
3078,n,f,o,p
3079,f,f,o,l
3080,n,f,o,p
3081,n,f,o,p
3082,n,f,o,p
3083,f,f,o,l
3084,n,f,o,p
3085,n,f,o,p
3086,f,f,o,l
3087,n,f,o,p
3088,f,f,o,l
3089,n,f,o,p
3090,f,f,o,l
3091,f,f,o,l
3092,f,f,o,l
3093,n,f,o,p
3094,f,f,o,l
3095,n,f,o,p
3096,c,f,o,p
3097,n,f,o,p
3098,c,f,o,p
3099,n,f,o,p
3100,n,f,o,p
3101,n,f,o,p
3102,n,f,o,p
3103,f,f,o,l
3104,f,f,o,l
3105,c,f,o,p
3106,n,f,o,p
3107,n,f,o,p
3108,n,f,o,p
3109,n,f,o,p
3110,f,f,o,l
3111,c,f,o,p
3112,n,f,o,p
3113,n,f,o,p
3114,n,f,o,p
3115,n,f,o,p
3116,n,f,o,p
3117,n,f,o,p
3118,n,f,o,p
3119,c,f,o,p
3120,c,f,o,p
3121,n,f,o,p
3122,n,f,o,p
3123,f,f,o,l
3124,n,f,o,p
3125,c,f,o,p
3126,n,f,o,p
3127,n,f,o,p
3128,n,f,o,p
3129,n,f,o,p
3130,n,f,o,p
3131,n,f,o,p
3132,n,f,o,p
3133,n,f,o,p
3134,n,f,o,p
3135,n,f,o,p
3136,n,f,o,p
3137,n,f,o,p
3138,n,f,o,p
3139,f,f,o,l
3140,n,f,o,p
3141,n,f,o,p
3142,f,f,o,l
3143,n,f,o,p
3144,n,f,o,p
3145,n,f,o,p
3146,n,f,o,p
3147,n,f,o,p
3148,c,f,o,p
3149,c,f,o,p
3150,n,f,o,p
3151,n,f,o,p
3152,n,f,o,p
3153,f,f,o,l
3154,n,f,o,p
3155,n,f,o,p
3156,n,f,o,p
3157,c,f,o,p
3158,n,f,o,p
3159,n,f,o,p
3160,f,f,o,l
3161,n,f,o,p
3162,f,f,o,l
3163,c,f,o,p
3164,n,f,o,p
3165,f,f,o,l
3166,c,f,o,p
3167,f,f,o,l
3168,n,f,o,p
3169,f,f,o,l
3170,c,f,o,p
3171,n,f,o,p
3172,n,f,o,p
3173,n,f,o,p
3174,f,f,o,l
3175,c,f,o,p
3176,n,f,o,p
3177,n,f,o,p
3178,n,f,o,p
3179,n,f,o,p
3180,f,f,o,l
3181,n,f,o,p
3182,c,f,o,p
3183,c,f,o,p
3184,n,f,o,p
3185,n,f,o,p
3186,n,f,o,p
3187,n,f,o,p
3188,f,f,o,l
3189,f,f,o,l
3190,n,f,o,p
3191,f,f,o,l
3192,c,f,o,p
3193,n,f,o,p
3194,f,f,o,l
3195,n,f,o,p
3196,n,f,o,p
3197,n,f,o,p
3198,n,f,o,p
3199,n,f,o,p
3200,f,f,o,l
3201,n,f,o,p
3202,f,f,o,l
3203,n,f,o,p
3204,n,f,o,p
3205,n,f,o,p
3206,f,f,o,l
3207,n,f,o,p
3208,n,f,o,p
3209,f,f,o,l
3210,c,f,o,p
3211,n,f,o,p
3212,f,f,o,l
3213,n,f,o,p
3214,n,f,o,p
3215,n,f,o,p
3216,n,f,o,p
3217,n,f,o,p
3218,n,f,o,p
3219,c,f,o,p
3220,n,f,o,p
3221,n,f,o,p
3222,n,f,o,p
3223,n,f,o,p
3224,n,f,o,p
3225,n,f,o,p
3226,n,f,o,p
3227,f,f,o,l
3228,c,f,o,p
3229,n,f,o,p
3230,n,f,o,p
3231,n,f,o,p
3232,f,f,o,l
3233,c,f,o,p
3234,f,f,o,l
3235,n,f,o,p
3236,f,f,o,l
3237,n,f,o,p
3238,n,f,o,p
3239,n,f,o,p
3240,f,f,o,l
3241,n,f,o,p
3242,n,f,o,p
3243,c,f,o,p
3244,f,f,o,l
3245,n,f,o,p
3246,f,f,o,l
3247,f,f,o,l
3248,n,f,o,p
3249,f,f,o,l
3250,n,f,o,p
3251,n,f,o,p
3252,n,f,o,p
3253,n,f,o,p
3254,c,f,o,p
3255,n,f,o,p
3256,n,f,o,p
3257,n,f,o,p
3258,n,f,o,p
3259,c,f,o,p
3260,f,f,o,l
3261,n,f,o,p
3262,n,f,o,p
3263,c,f,o,p
3264,n,f,o,p
3265,f,f,o,l
3266,f,f,o,l
3267,n,f,o,p
3268,n,f,o,p
3269,c,f,o,p
3270,f,f,o,l
3271,c,f,o,p
3272,n,f,o,p
3273,n,f,o,p
3274,n,f,o,p
3275,f,f,o,l
3276,n,f,o,p
3277,c,f,o,p
3278,f,f,o,l
3279,n,f,o,p
3280,n,f,o,p
3281,f,f,o,l
3282,f,f,o,l
3283,c,f,o,p
3284,n,f,o,p
3285,f,f,o,l
3286,n,f,o,p
3287,n,f,o,p
3288,n,f,o,p
3289,n,f,o,p
3290,n,f,o,p
3291,n,f,o,p
3292,n,f,o,p
3293,c,f,o,p
3294,n,f,o,p
3295,n,f,o,p
3296,c,f,o,p
3297,n,f,o,p
3298,n,f,o,p
3299,f,f,o,l
3300,n,f,o,p
3301,f,f,o,l
3302,n,f,o,p
3303,n,f,o,p
3304,n,f,o,p
3305,f,f,o,l
3306,n,f,o,p
3307,c,f,o,p
3308,n,f,o,p
3309,n,f,o,p
3310,n,f,o,p
3311,n,f,o,p
3312,n,f,o,p
3313,n,f,o,p
3314,f,f,o,l
3315,n,f,o,p
3316,n,f,o,p
3317,n,f,o,p
3318,n,f,o,p
3319,n,f,o,p
3320,n,f,o,p
3321,n,f,o,p
3322,n,f,o,p
3323,c,f,o,p
3324,f,f,o,l
3325,n,f,o,p
3326,n,f,o,p
3327,c,f,o,p
3328,c,f,o,p
3329,f,f,o,l
3330,n,f,o,p
3331,n,f,o,p
3332,c,f,o,p
3333,n,f,o,p
3334,n,f,o,p
3335,f,f,o,l
3336,n,f,o,p
3337,n,f,o,p
3338,c,f,o,p
3339,n,f,o,p
3340,f,f,o,l
3341,n,f,o,p
3342,f,f,o,l
3343,n,f,o,p
3344,n,f,o,p
3345,n,f,o,p
3346,n,f,o,p
3347,c,f,o,p
3348,n,f,o,p
3349,n,f,o,p
3350,f,f,o,l
3351,n,f,o,p
3352,c,f,o,p
3353,f,f,o,l
3354,n,f,o,p
3355,n,f,o,p
3356,n,f,o,p
3357,n,f,o,p
3358,c,f,o,p
3359,f,f,o,l
3360,c,f,o,p
3361,n,f,o,p
3362,n,f,o,p
3363,f,f,o,l
3364,f,f,o,l
3365,n,f,o,p
3366,c,f,o,p
3367,c,f,o,p
3368,n,f,o,p
3369,n,f,o,p
3370,n,f,o,p
3371,n,f,o,p
3372,c,f,o,p
3373,f,f,o,l
3374,n,f,o,p
3375,n,f,o,p
3376,n,f,o,p
3377,n,f,o,p
3378,n,f,o,p
3379,n,f,o,p
3380,f,f,o,l
3381,n,f,o,p
3382,c,f,o,p
3383,n,f,o,p
3384,n,f,o,p
3385,n,f,o,p
3386,n,f,o,p
3387,n,f,o,p
3388,n,f,o,p
3389,c,f,o,p
3390,f,f,o,l
3391,c,f,o,p
3392,n,f,o,p
3393,n,f,o,p
3394,c,f,o,p
3395,n,f,o,p
3396,c,f,o,p
3397,n,f,o,p
3398,c,f,o,p
3399,n,f,o,p
3400,f,f,o,l
3401,c,f,o,p
3402,n,f,o,p
3403,f,f,o,l
3404,c,f,o,p
3405,n,f,o,p
3406,c,f,o,p
3407,n,f,o,p
3408,n,f,o,p
3409,n,f,o,p
3410,n,f,o,p
3411,n,f,o,p
3412,c,f,o,p
3413,n,f,o,p
3414,n,f,o,p
3415,n,f,o,p
3416,n,f,o,p
3417,n,f,o,p
3418,f,f,o,l
3419,c,f,o,p
3420,n,f,o,p
3421,n,f,o,p
3422,c,f,o,p
3423,n,f,o,p
3424,n,f,o,p
3425,n,f,o,p
3426,f,f,o,l
3427,c,f,o,p
3428,n,f,o,p
3429,n,f,o,p
3430,n,f,o,p
3431,n,f,o,p
3432,n,f,o,p
3433,f,f,o,l
3434,n,f,o,p
3435,n,f,o,p
3436,c,f,o,p
3437,n,f,o,p
3438,f,f,o,l
3439,n,f,o,p
3440,f,f,o,l
3441,n,f,o,p
3442,c,f,o,p
3443,n,f,o,p
3444,c,f,o,p
3445,c,f,o,p
3446,n,f,o,p
3447,c,f,o,p
3448,f,f,o,l
3449,n,f,o,p
3450,n,f,o,p
3451,n,f,o,p
3452,f,f,o,l
3453,c,f,o,p
3454,f,f,o,l
3455,c,f,o,p
3456,n,f,o,p
3457,n,f,o,p
3458,c,f,o,p
3459,n,f,o,p
3460,n,f,o,p
3461,n,f,o,p
3462,n,f,o,p
3463,n,f,o,p
3464,c,f,o,p
3465,n,f,o,p
3466,f,f,o,l
3467,n,f,o,p
3468,n,f,o,p
3469,c,f,o,p
3470,c,f,o,p
3471,n,f,o,p
3472,n,f,o,p
3473,n,f,o,p
3474,f,f,o,l
3475,n,f,o,p
3476,n,f,o,p
3477,n,f,o,p
3478,c,f,o,p
3479,n,f,o,p
3480,f,f,o,l
3481,n,f,o,p
3482,n,f,o,p
3483,n,f,o,p
3484,c,f,o,p
3485,c,f,o,p
3486,n,f,o,p
3487,n,f,o,p
3488,n,f,o,p
3489,f,f,o,l
3490,n,f,o,p
3491,f,f,o,l
3492,n,f,o,p
3493,f,f,o,l
3494,n,f,o,p
3495,n,f,o,p
3496,n,f,o,p
3497,f,f,o,l
3498,n,f,o,p
3499,n,f,o,p
3500,n,f,o,p
3501,c,f,o,p
3502,n,f,o,p
3503,n,f,o,p
3504,n,f,o,p
3505,n,f,o,p
3506,n,f,o,p
3507,f,f,o,l
3508,n,f,o,p
3509,f,f,o,l
3510,n,f,o,p
3511,n,f,o,p
3512,f,f,o,l
3513,n,f,o,p
3514,f,f,o,l
3515,n,f,o,p
3516,c,f,o,p
3517,n,f,o,p
3518,n,f,o,p
3519,n,f,o,p
3520,n,f,o,p
3521,n,f,o,p
3522,c,f,o,p
3523,f,f,o,l
3524,n,f,o,p
3525,n,f,o,p
3526,c,f,o,p
3527,n,f,o,p
3528,n,f,o,p
3529,n,f,o,p
3530,n,f,o,p
3531,n,f,o,p
3532,c,f,o,p
3533,n,f,o,p
3534,f,f,o,l
3535,n,f,o,p
3536,n,f,o,p
3537,c,f,o,p
3538,n,f,o,p
3539,n,f,o,p
3540,f,f,o,l
3541,n,f,o,p
3542,n,f,o,p
3543,n,f,o,p
3544,c,f,o,p
3545,f,f,o,l
3546,n,f,o,p
3547,n,f,o,p
3548,c,f,o,p
3549,n,f,o,p
3550,n,f,o,p
3551,n,f,o,p
3552,n,f,o,p
3553,n,f,o,p
3554,n,f,o,p
3555,c,f,o,p
3556,n,f,o,p
3557,f,f,o,l
3558,c,f,o,p
3559,n,f,o,p
3560,f,f,o,l
3561,c,f,o,p
3562,n,f,o,p
3563,n,f,o,p
3564,n,f,o,p
3565,n,f,o,p
3566,f,f,o,l
3567,n,f,o,p
3568,f,f,o,l
3569,n,f,o,p
3570,n,f,o,p
3571,f,f,o,l
3572,n,f,o,p
3573,f,f,o,l
3574,n,f,o,p
3575,n,f,o,p
3576,n,f,o,p
3577,n,f,o,p
3578,n,f,o,p
3579,n,f,o,p
3580,n,f,o,p
3581,n,f,o,p
3582,f,f,o,l
3583,n,f,o,p
3584,c,f,o,p
3585,n,f,o,p
3586,n,f,o,p
3587,n,f,o,p
3588,n,f,o,p
3589,n,f,o,p
3590,n,f,o,p
3591,c,f,o,p
3592,n,f,o,p
3593,n,f,o,p
3594,n,f,o,p
3595,f,f,o,l
3596,n,f,o,p
3597,n,f,o,p
3598,f,f,o,l
3599,n,f,o,p
3600,f,f,o,l
3601,n,f,o,p
3602,n,f,o,p
3603,n,f,o,p
3604,n,f,o,p
3605,f,f,o,l
3606,c,f,o,p
3607,f,f,o,l
3608,f,f,o,l
3609,f,f,o,l
3610,n,f,o,p
3611,f,f,o,l
3612,n,f,o,p
3613,n,f,o,p
3614,n,f,o,p
3615,f,f,o,l
3616,n,f,o,p
3617,c,f,o,p
3618,n,f,o,p
3619,n,f,o,p
3620,n,f,o,p
3621,n,f,o,p
3622,f,f,o,l
3623,f,f,o,l
3624,n,f,o,p
3625,n,f,o,p
3626,f,f,o,l
3627,n,f,o,p
3628,c,f,o,p
3629,n,f,o,p
3630,n,f,o,p
3631,f,f,o,l
3632,n,f,o,p
3633,c,f,o,p
3634,f,f,o,l
3635,n,f,o,p
3636,f,f,o,l
3637,n,f,o,p
3638,n,f,o,p
3639,n,f,o,p
3640,n,f,o,p
3641,n,f,o,p
3642,n,f,o,p
3643,n,f,o,p
3644,n,f,o,p
3645,f,f,o,l
3646,n,f,o,p
3647,n,f,o,p
3648,f,f,o,l
3649,f,f,o,l
3650,f,f,o,l
3651,n,f,o,p
3652,n,f,o,p
3653,f,f,o,l
3654,f,f,o,l
3655,f,f,o,l
3656,n,f,o,p
3657,c,f,o,p
3658,n,f,o,p
3659,f,f,o,l
3660,n,f,o,p
3661,n,f,o,p
3662,f,f,o,l
3663,n,f,o,p
3664,c,f,o,p
3665,n,f,o,p
3666,n,f,o,p
3667,n,f,o,p
3668,f,f,o,l
3669,n,f,o,p
3670,n,f,o,p
3671,c,f,o,p
3672,n,f,o,p
3673,n,f,o,p
3674,n,f,o,p
3675,n,f,o,p
3676,f,f,o,l
3677,n,f,o,p
3678,n,f,o,p
3679,n,f,o,p
3680,c,f,o,p
3681,n,f,o,p
3682,n,f,o,p
3683,n,f,o,p
3684,c,f,o,p
3685,f,f,o,l
3686,n,f,o,p
3687,f,f,o,l
3688,c,f,o,p
3689,n,f,o,p
3690,n,f,o,p
3691,n,f,o,p
3692,n,f,o,p
3693,c,f,o,p
3694,n,f,o,p
3695,f,f,o,l
3696,n,f,o,p
3697,n,f,o,p
3698,c,f,o,p
3699,n,f,o,p
3700,c,f,o,p
3701,n,f,o,p
3702,f,f,o,l
3703,n,f,o,p
3704,c,f,o,p
3705,f,f,o,l
3706,n,f,o,p
3707,n,f,o,p
3708,c,f,o,p
3709,f,f,o,l
3710,n,f,o,p
3711,f,f,o,l
3712,n,f,o,p
3713,n,f,o,p
3714,f,f,o,l
3715,n,f,o,p
3716,n,f,o,p
3717,n,f,o,p
3718,n,f,o,p
3719,f,f,o,l
3720,n,f,o,p
3721,n,f,o,p
3722,n,f,o,p
3723,n,f,o,p
3724,n,f,o,p
3725,f,f,o,l
3726,c,f,o,p
3727,f,f,o,l
3728,n,f,o,p
3729,n,f,o,p
3730,n,f,o,p
3731,n,f,o,p
3732,n,f,o,p
3733,n,f,o,p
3734,n,f,o,p
3735,f,f,o,l
3736,n,f,o,p
3737,n,f,o,p
3738,f,f,o,l
3739,c,f,o,p
3740,c,f,o,p
3741,n,f,o,p
3742,f,f,o,l
3743,c,f,o,p
3744,n,f,o,p
3745,n,f,o,p
3746,n,f,o,p
3747,f,f,o,l
3748,n,f,o,p
3749,n,f,o,p
3750,n,f,o,p
3751,f,f,o,l
3752,c,f,o,p
3753,n,f,o,p
3754,c,f,o,p
3755,c,f,o,p
3756,f,f,o,l
3757,n,f,o,p
3758,n,f,o,p
3759,f,f,o,l
3760,n,f,o,p
3761,n,f,o,p
3762,n,f,o,p
3763,n,f,o,p
3764,n,f,o,p
3765,n,f,o,p
3766,n,f,o,p
3767,n,f,o,p
3768,n,f,o,p
3769,n,f,o,p
3770,n,f,o,p
3771,n,f,o,p
3772,n,f,o,p
3773,n,f,o,p
3774,n,f,o,p
3775,n,f,o,p
3776,f,f,o,l
3777,n,f,o,p
3778,n,f,o,p
3779,n,f,o,p
3780,n,f,o,p
3781,n,f,o,p
3782,f,f,o,l
3783,n,f,o,p
3784,f,f,o,l
3785,n,f,o,p
3786,n,f,o,p
3787,n,f,o,p
3788,f,f,o,l
3789,n,f,o,p
3790,n,f,o,p
3791,f,f,o,l
3792,n,f,o,p
3793,c,f,o,p
3794,n,f,o,p
3795,c,f,o,p
3796,n,f,o,p
3797,c,f,o,p
3798,n,f,o,p
3799,n,f,o,p
3800,n,f,o,p
3801,n,f,o,p
3802,c,f,o,p
3803,n,f,o,p
3804,n,f,o,p
3805,c,f,o,p
3806,n,f,o,p
3807,c,f,o,p
3808,n,f,o,p
3809,f,f,o,l
3810,n,f,o,p
3811,f,f,o,l
3812,n,f,o,p
3813,n,f,o,p
3814,n,f,o,p
3815,c,f,o,p
3816,f,f,o,l
3817,n,f,o,p
3818,n,f,o,p
3819,n,f,o,p
3820,n,f,o,p
3821,n,f,o,p
3822,n,f,o,p
3823,f,f,o,l
3824,n,f,o,p
3825,n,f,o,p
3826,n,f,o,p
3827,c,f,o,p
3828,n,f,o,p
3829,n,f,o,p
3830,f,f,o,l
3831,n,f,o,p
3832,c,f,o,p
3833,n,f,o,p
3834,c,f,o,p
3835,f,f,o,l
3836,f,f,o,l
3837,n,f,o,p
3838,n,f,o,p
3839,n,f,o,p
3840,n,f,o,p
3841,f,f,o,l
3842,n,f,o,p
3843,n,f,o,p
3844,f,f,o,l
3845,n,f,o,p
3846,c,f,o,p
3847,n,f,o,p
3848,n,f,o,p
3849,n,f,o,p
3850,n,f,o,p
3851,n,f,o,p
3852,n,f,o,p
3853,c,f,o,p
3854,n,f,o,p
3855,f,f,o,l
3856,n,f,o,p
3857,n,f,o,p
3858,n,f,o,p
3859,c,f,o,p
3860,c,f,o,p
3861,n,f,o,p
3862,n,f,o,p
3863,n,f,o,p
3864,n,f,o,p
3865,f,f,o,l
3866,c,f,o,p
3867,n,f,o,p
3868,n,f,o,p
3869,c,f,o,p
3870,c,f,o,p
3871,n,f,o,p
3872,f,f,o,l
3873,c,f,o,p
3874,f,f,o,l
3875,c,f,o,p
3876,n,f,o,p
3877,c,f,o,p
3878,n,f,o,p
3879,c,f,o,p
3880,c,f,o,p
3881,n,f,o,p
3882,c,f,o,p
3883,c,f,o,p
3884,n,f,o,p
3885,n,f,o,p
3886,c,f,o,p
3887,n,f,o,p
3888,c,f,o,p
3889,n,f,o,p
3890,f,f,o,l
3891,f,f,o,l
3892,n,f,o,p
3893,f,f,o,l
3894,n,f,o,p
3895,f,f,o,l
3896,f,f,o,l
3897,n,f,o,p
3898,n,f,o,p
3899,c,f,o,p
