id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
2224,n,f,b,s,v
2225,n,f,b,s,y
2226,n,f,b,s,v
2227,n,f,b,s,y
2228,n,f,b,f,s
2229,n,f,b,s,y
2230,n,f,b,s,v
2231,n,f,b,s,v
2232,n,f,b,s,v
2233,n,f,b,s,y
2234,n,f,b,s,v
2235,n,f,b,s,v
2236,n,f,b,s,y
2237,n,f,b,s,y
2238,n,f,b,s,s
2239,f,f,b,k,y
2240,n,f,b,s,y
2241,n,f,b,s,y
2242,p,f,n,s,v
2243,n,f,b,s,y
2244,n,f,b,s,y
2245,n,f,b,s,v
2246,n,f,b,s,v
2247,n,f,b,s,v
2248,n,f,b,f,a
2249,n,f,b,s,y
2250,n,f,b,s,y
2251,n,f,b,s,y
2252,n,f,b,s,y
2253,n,f,b,f,s
2254,n,f,b,s,v
2255,n,f,b,s,v
2256,n,f,b,s,y
2257,n,f,b,s,y
2258,n,f,b,s,v
2259,n,f,b,s,v
2260,n,f,b,s,v
2261,n,f,b,f,a
2262,n,f,b,s,y
2263,n,f,b,s,y
2264,n,f,b,s,y
2265,n,f,b,s,y
2266,n,f,b,s,y
2267,n,f,b,s,a
2268,n,f,b,s,v
2269,n,f,b,s,y
2270,n,f,b,s,v
2271,n,f,b,s,v
2272,n,f,b,s,s
2273,n,f,b,s,v
2274,n,f,b,s,y
2275,n,f,b,s,v
2276,n,f,b,s,y
2277,n,f,b,s,y
2278,n,f,b,s,y
2279,n,f,b,s,v
2280,n,f,b,s,v
2281,n,f,b,s,y
2282,n,f,b,s,y
2283,n,f,b,s,v
2284,n,f,b,s,y
2285,n,f,b,s,y
2286,c,f,n,s,v
2287,n,f,b,s,y
2288,n,f,b,s,y
2289,p,f,n,s,s
2290,n,f,b,s,y
2291,n,f,b,s,y
2292,n,f,b,s,v
2293,n,f,b,s,v
2294,n,f,b,s,v
2295,n,f,b,s,y
2296,n,f,b,s,s
2297,n,f,b,s,v
2298,n,f,b,s,s
2299,n,f,b,s,y
2300,n,f,b,s,v
2301,n,f,b,s,v
2302,n,f,b,s,v
2303,n,f,b,s,v
2304,n,f,b,s,y
2305,n,f,b,s,v
2306,n,f,b,s,y
2307,n,f,b,s,v
2308,n,f,b,s,v
2309,n,f,b,s,y
2310,n,f,b,s,v
2311,n,f,b,s,y
2312,n,f,b,s,v
2313,n,f,b,s,y
2314,n,f,b,s,v
2315,n,f,b,s,y
2316,n,f,b,s,v
2317,n,f,b,s,v
2318,n,f,b,s,y
2319,n,f,b,s,y
2320,n,f,b,s,v
2321,n,f,b,s,y
2322,n,f,b,s,v
2323,n,f,b,s,y
2324,n,f,b,s,y
2325,n,f,b,s,y
2326,n,f,b,s,v
2327,n,f,b,s,y
2328,n,f,b,s,v
2329,n,f,b,s,v
2330,n,f,b,s,y
2331,n,f,b,s,v
2332,n,f,b,s,v
2333,n,f,b,s,y
2334,n,f,b,s,y
2335,n,f,b,s,y
2336,n,f,b,s,v
2337,n,f,b,s,v
2338,n,f,b,s,v
2339,n,f,b,s,y
2340,n,f,b,s,y
2341,n,f,b,s,v
2342,n,f,b,s,y
2343,n,f,b,s,v
2344,n,f,b,s,v
2345,n,f,b,s,y
2346,n,f,b,s,v
2347,n,f,b,s,s
2348,n,f,b,s,y
2349,n,f,b,f,s
2350,n,f,b,s,y
2351,n,f,b,s,y
2352,p,f,n,s,s
2353,n,f,b,s,v
2354,n,f,b,s,y
2355,n,f,b,s,y
2356,n,f,b,s,v
2357,n,f,b,s,v
2358,n,f,b,s,y
2359,n,f,b,s,y
2360,n,f,b,s,v
2361,n,f,b,s,y
2362,n,f,b,s,y
2363,n,f,b,s,y
2364,n,f,b,s,y
2365,n,f,b,s,v
2366,n,f,b,s,y
2367,n,f,b,s,v
2368,n,f,b,s,a
2369,n,f,b,s,v
2370,n,f,b,s,y
2371,n,f,b,s,y
2372,n,f,b,s,y
2373,n,f,b,s,y
2374,n,f,b,s,v
2375,n,f,b,s,y
2376,p,f,n,s,v
2377,n,f,b,s,v
2378,n,f,b,s,s
2379,n,f,b,s,s
2380,n,f,b,s,v
2381,n,f,b,s,y
2382,n,f,b,s,v
2383,n,f,b,s,v
2384,n,f,b,s,y
2385,n,f,b,s,v
2386,f,f,b,k,y
2387,n,f,b,s,y
2388,n,f,b,s,a
2389,p,f,n,s,v
2390,n,f,b,s,y
2391,n,f,b,s,v
2392,n,f,b,s,y
2393,n,f,b,s,v
2394,n,f,b,s,v
2395,n,f,b,s,v
2396,n,f,b,s,y
2397,n,f,b,s,v
2398,n,f,b,s,y
2399,n,f,b,s,y
2400,n,f,b,s,y
2401,p,f,n,s,v
2402,n,f,b,s,v
2403,n,f,b,s,v
2404,n,f,b,s,v
2405,n,f,b,s,v
2406,n,f,b,s,v
2407,n,f,b,s,y
2408,n,f,b,s,y
2409,n,f,b,s,y
2410,n,f,b,s,y
2411,n,f,b,s,v
2412,n,f,b,s,v
2413,n,f,b,s,v
2414,n,f,b,s,v
2415,n,f,b,s,v
2416,n,f,b,s,y
2417,n,f,b,s,v
2418,n,f,b,s,y
2419,n,f,b,s,y
2420,n,f,b,s,v
2421,n,f,b,s,y
2422,n,f,b,s,v
2423,n,f,b,s,y
2424,n,f,b,s,y
2425,n,f,b,s,y
2426,n,f,b,s,v
2427,c,f,n,s,v
2428,n,f,b,s,y
2429,n,f,b,s,y
2430,n,f,b,s,y
2431,n,f,b,s,v
2432,n,f,b,s,y
2433,n,f,b,s,y
2434,n,f,b,s,y
2435,n,f,b,s,v
2436,n,f,b,s,y
2437,n,f,b,s,y
2438,n,f,b,s,v
2439,n,f,b,s,y
2440,n,f,b,s,v
2441,n,f,b,s,y
2442,n,f,b,s,y
2443,n,f,b,s,y
2444,f,f,b,k,y
2445,n,f,b,s,v
2446,n,f,b,s,y
2447,n,f,b,s,v
2448,n,f,b,s,y
2449,n,f,b,s,v
2450,n,f,b,s,y
2451,n,f,b,s,y
2452,n,f,b,s,y
2453,n,f,b,s,a
2454,n,f,b,s,y
2455,n,f,b,s,y
2456,n,f,b,s,v
2457,n,f,b,s,y
2458,n,f,b,s,v
2459,n,f,b,s,y
2460,n,f,b,s,v
2461,n,f,b,s,v
2462,n,f,b,s,y
2463,n,f,b,s,y
2464,n,f,b,s,v
2465,n,f,b,s,y
2466,n,f,b,s,v
2467,n,f,b,s,v
2468,n,f,b,s,v
2469,n,f,b,s,y
2470,n,f,b,s,v
2471,n,f,b,s,v
2472,n,f,b,s,v
2473,n,f,b,s,v
2474,n,f,b,s,v
2475,n,f,b,s,y
2476,n,f,b,s,v
2477,n,f,b,s,v
2478,n,f,b,s,y
2479,p,f,n,s,s
2480,n,f,b,f,s
2481,n,f,b,s,v
2482,n,f,b,s,y
2483,c,f,n,s,s
2484,n,f,b,s,y
2485,n,f,b,s,v
2486,n,f,b,s,y
2487,n,f,b,s,v
2488,n,f,b,s,s
2489,n,f,b,s,v
2490,n,f,b,s,v
2491,n,f,b,s,v
2492,n,f,b,s,y
2493,n,f,b,s,v
2494,n,f,b,s,v
2495,n,f,b,s,y
2496,p,f,n,s,v
2497,n,f,b,s,y
2498,n,f,b,s,y
2499,n,f,b,s,v
2500,n,f,b,s,v
2501,n,f,b,f,s
2502,n,f,b,f,a
2503,n,f,b,s,v
2504,n,f,b,s,v
2505,n,f,b,s,y
2506,n,f,b,s,y
2507,n,f,b,s,y
2508,n,f,b,s,y
2509,n,f,b,s,v
2510,n,f,b,s,v
2511,n,f,b,s,y
2512,n,f,b,s,v
2513,c,f,n,s,s
2514,n,f,b,s,y
2515,n,f,b,s,y
2516,n,f,b,s,v
2517,n,f,b,s,v
2518,n,f,b,s,y
2519,n,f,b,f,s
2520,n,f,b,s,y
2521,n,f,b,s,v
2522,n,f,b,s,v
2523,n,f,b,s,v
2524,n,f,b,s,y
2525,n,f,b,s,y
2526,n,f,b,s,v
2527,n,f,b,s,y
2528,n,f,b,s,y
2529,n,f,b,s,v
2530,n,f,b,s,y
2531,n,f,b,s,v
2532,n,f,b,s,y
2533,n,f,b,s,y
2534,f,f,b,k,y
2535,n,f,b,s,v
2536,n,f,b,s,v
2537,f,f,b,k,v
2538,n,f,b,s,v
2539,n,f,b,s,v
2540,f,f,b,k,y
2541,c,f,n,s,s
2542,n,f,b,s,v
2543,n,f,b,s,y
2544,n,f,b,s,v
2545,n,f,b,s,y
2546,n,f,b,s,v
2547,n,f,b,s,y
2548,n,f,b,s,y
2549,n,f,b,s,v
2550,n,f,b,s,y
2551,n,f,b,s,v
2552,n,f,b,s,y
2553,n,f,b,s,v
2554,n,f,b,s,y
2555,n,f,b,s,y
2556,n,f,b,s,v
2557,n,f,b,s,v
2558,n,f,b,s,v
2559,n,f,b,s,v
2560,n,f,b,s,y
2561,c,f,n,s,v
2562,n,f,b,s,y
2563,n,f,b,s,v
2564,n,f,b,s,y
2565,n,f,b,s,v
2566,n,f,b,s,y
2567,f,f,b,k,y
2568,n,f,b,s,y
2569,n,f,b,s,v
2570,n,f,b,s,v
2571,n,f,b,s,v
2572,f,f,b,k,v
2573,n,f,b,s,y
2574,n,f,b,s,v
2575,n,f,b,s,v
2576,n,f,b,s,y
2577,n,f,b,s,y
2578,n,f,b,s,y
2579,n,f,b,s,y
2580,n,f,b,s,y
2581,n,f,b,s,v
2582,n,f,b,s,v
2583,n,f,b,s,v
2584,n,f,b,s,v
2585,n,f,b,s,v
2586,n,f,b,s,v
2587,n,f,b,s,y
2588,n,f,b,s,v
2589,n,f,b,s,v
2590,n,f,b,s,v
2591,n,f,b,s,y
2592,n,f,b,s,v
2593,n,f,b,s,y
2594,n,f,b,s,v
2595,f,f,b,k,v
2596,n,f,b,s,y
2597,n,f,b,s,y
2598,n,f,b,s,y
2599,n,f,b,s,y
2600,n,f,b,s,v
2601,n,f,b,s,y
2602,n,f,b,s,y
2603,n,f,b,s,v
2604,n,f,b,s,y
2605,n,f,b,s,v
2606,f,f,b,k,v
2607,n,f,b,s,v
2608,n,f,b,s,v
2609,n,f,b,s,y
2610,n,f,b,s,v
2611,n,f,b,s,y
2612,n,f,b,s,v
2613,n,f,b,s,y
2614,n,f,b,s,y
2615,n,f,b,s,v
2616,n,f,b,s,y
2617,n,f,b,s,y
2618,n,f,b,s,y
2619,n,f,b,s,y
2620,n,f,b,s,y
2621,n,f,b,s,v
2622,n,f,b,s,v
2623,n,f,b,s,y
2624,n,f,b,s,y
2625,n,f,b,s,v
2626,n,f,b,s,v
2627,n,f,b,s,v
2628,c,f,n,s,v
2629,n,f,b,s,v
2630,n,f,b,s,y
2631,n,f,b,s,a
2632,n,f,b,s,v
2633,n,f,b,s,y
2634,n,f,b,s,v
2635,n,f,b,s,v
2636,n,f,b,s,v
2637,n,f,b,s,y
2638,n,f,b,s,v
2639,n,f,b,s,v
2640,n,f,b,s,v
2641,n,f,b,s,y
2642,n,f,b,s,v
2643,n,f,b,s,v
2644,n,f,b,s,v
2645,n,f,b,s,y
2646,n,f,b,s,y
2647,n,f,b,s,y
2648,n,f,b,s,s
2649,n,f,b,s,v
2650,n,f,b,s,y
2651,n,f,b,s,y
2652,n,f,b,s,v
2653,n,f,b,s,y
2654,n,f,b,s,y
2655,n,f,b,s,v
2656,n,f,b,s,v
2657,n,f,b,s,y
2658,n,f,b,s,v
2659,n,f,b,s,v
2660,n,f,b,s,y
2661,n,f,b,s,v
2662,n,f,b,s,v
2663,n,f,b,s,y
2664,n,f,b,s,v
2665,n,f,b,s,v
2666,n,f,b,s,y
2667,n,f,b,s,v
2668,n,f,b,s,y
2669,n,f,b,s,y
2670,n,f,b,s,y
2671,n,f,b,s,v
2672,n,f,b,s,y
2673,n,f,b,s,v
2674,n,f,b,s,y
2675,n,f,b,s,v
2676,n,f,b,s,v
2677,n,f,b,s,v
2678,n,f,b,s,v
2679,n,f,b,s,y
2680,n,f,b,s,y
2681,n,f,b,s,v
2682,n,f,b,s,y
2683,n,f,b,s,v
2684,c,f,n,s,v
2685,n,f,b,s,y
2686,n,f,b,s,v
2687,n,f,b,s,y
2688,n,f,b,s,v
2689,n,f,b,s,y
2690,n,f,b,s,v
2691,n,f,b,s,a
2692,n,f,b,s,y
2693,n,f,b,s,v
2694,n,f,b,s,v
2695,n,f,b,s,v
2696,n,f,b,s,y
2697,n,f,b,s,y
2698,f,f,b,k,y
2699,n,f,b,s,v
2700,n,f,b,s,v
2701,n,f,b,s,v
2702,n,f,b,s,y
2703,n,f,b,s,v
2704,n,f,b,s,y
2705,n,f,b,s,v
2706,n,f,b,s,v
2707,n,f,b,s,y
2708,n,f,b,s,v
2709,n,f,b,s,y
2710,n,f,b,s,v
2711,n,f,b,s,v
2712,n,f,b,s,y
2713,n,f,b,s,y
2714,n,f,b,s,y
2715,n,f,b,s,v
2716,n,f,b,s,y
2717,n,f,b,s,y
2718,n,f,b,s,v
2719,n,f,b,s,y
2720,n,f,b,s,v
2721,n,f,b,s,v
2722,n,f,b,s,y
2723,n,f,b,s,y
2724,n,f,b,s,v
2725,n,f,b,s,v
2726,n,f,b,s,y
2727,n,f,b,s,y
2728,n,f,b,s,y
2729,n,f,b,s,v
2730,n,f,b,s,y
2731,n,f,b,f,s
2732,n,f,b,s,y
2733,n,f,b,s,y
2734,n,f,b,s,y
2735,n,f,b,s,y
2736,n,f,b,s,v
2737,n,f,b,s,y
2738,n,f,b,s,y
2739,n,f,b,s,y
2740,n,f,b,s,y
2741,n,f,b,s,y
2742,n,f,b,s,y
2743,n,f,b,s,y
2744,n,f,b,s,v
2745,n,f,b,s,v
2746,n,f,b,s,y
2747,n,f,b,s,v
2748,n,f,b,s,y
2749,n,f,b,s,y
2750,c,f,n,s,v
2751,n,f,b,s,y
2752,n,f,b,s,y
2753,n,f,b,s,y
2754,n,f,b,s,v
2755,n,f,b,s,v
2756,n,f,b,s,v
2757,n,f,b,s,y
2758,n,f,b,s,v
2759,n,f,b,s,y
2760,n,f,b,s,y
2761,n,f,b,s,y
2762,n,f,b,s,y
2763,n,f,b,s,y
2764,n,f,b,s,v
2765,n,f,b,s,v
2766,n,f,b,s,v
2767,f,f,b,k,v
2768,n,f,b,s,v
2769,n,f,b,s,y
2770,n,f,b,s,y
2771,f,f,b,k,y
2772,n,f,b,s,v
2773,n,f,b,s,v
2774,n,f,b,s,v
2775,n,f,b,s,v
2776,n,f,b,s,y
2777,n,f,b,s,v
2778,n,f,b,s,v
2779,n,f,b,s,v
2780,n,f,b,s,v
2781,n,f,b,s,y
2782,n,f,b,s,v
2783,n,f,b,s,y
2784,n,f,b,s,y
2785,n,f,b,s,v
2786,n,f,b,s,y
2787,n,f,b,s,y
2788,n,f,b,s,y
2789,n,f,b,f,s
2790,n,f,b,s,y
2791,n,f,b,s,y
2792,n,f,b,s,y
2793,n,f,b,s,v
2794,n,f,b,s,y
2795,n,f,b,s,v
2796,n,f,b,s,v
2797,n,f,b,s,v
2798,c,f,n,s,s
2799,n,f,b,s,y
2800,n,f,b,s,v
2801,n,f,b,s,y
2802,n,f,b,s,s
2803,n,f,b,s,y
2804,n,f,b,s,v
2805,n,f,b,s,y
2806,n,f,b,s,y
2807,n,f,b,s,y
2808,n,f,b,s,v
2809,n,f,b,s,v
2810,n,f,b,s,v
2811,n,f,b,s,v
2812,n,f,b,s,v
2813,n,f,b,s,v
2814,n,f,b,s,y
2815,n,f,b,s,v
2816,n,f,b,s,v
2817,n,f,b,s,y
2818,n,f,b,f,s
2819,n,f,b,s,y
2820,n,f,b,s,y
2821,n,f,b,s,v
2822,n,f,b,s,y
2823,n,f,b,s,y
2824,n,f,b,s,v
2825,n,f,b,s,y
2826,n,f,b,s,v
2827,n,f,b,s,v
2828,n,f,b,s,v
2829,n,f,b,s,y
2830,n,f,b,s,y
2831,n,f,b,s,v
2832,n,f,b,s,y
2833,n,f,b,s,v
2834,n,f,b,s,y
2835,n,f,b,s,v
2836,n,f,b,s,y
2837,n,f,b,s,v
2838,n,f,b,s,y
2839,n,f,b,s,y
2840,n,f,b,s,y
2841,n,f,b,s,v
2842,c,f,n,s,v
2843,n,f,b,s,y
2844,n,f,b,s,v
2845,n,f,b,f,s
2846,n,f,b,s,y
2847,n,f,b,s,y
2848,n,f,b,s,y
2849,n,f,b,s,y
2850,n,f,b,s,v
2851,n,f,b,s,y
2852,n,f,b,s,y
2853,n,f,b,s,v
2854,n,f,b,s,v
2855,n,f,b,s,y
2856,n,f,b,s,v
2857,n,f,b,s,y
2858,n,f,b,s,v
2859,n,f,b,s,y
2860,n,f,b,s,y
2861,c,f,n,s,s
2862,n,f,b,s,v
2863,n,f,b,s,v
2864,n,f,b,s,y
2865,n,f,b,s,v
2866,n,f,b,s,y
2867,n,f,b,s,y
2868,n,f,b,s,y
2869,n,f,b,s,y
2870,n,f,b,s,v
2871,n,f,b,s,v
2872,n,f,b,s,v
2873,n,f,b,s,y
2874,n,f,b,s,y
2875,n,f,b,s,y
2876,n,f,b,s,y
2877,n,f,b,s,y
2878,n,f,b,s,y
2879,n,f,b,s,y
2880,n,f,b,s,y
2881,n,f,b,s,v
2882,n,f,b,s,s
2883,n,f,b,s,v
2884,n,f,b,s,y
2885,n,f,b,s,v
2886,n,f,b,s,y
2887,n,f,b,s,v
2888,c,f,n,s,v
2889,n,f,b,s,v
2890,n,f,b,s,v
2891,n,f,b,s,a
2892,n,f,b,s,y
2893,c,f,n,s,v
2894,n,f,b,s,v
2895,n,f,b,s,v
2896,n,f,b,s,v
2897,n,f,b,s,v
2898,n,f,b,s,v
2899,n,f,b,s,y
2900,n,f,b,s,v
2901,n,f,b,s,y
2902,n,f,b,s,y
2903,n,f,b,s,v
2904,f,f,b,k,y
2905,n,f,b,s,y
2906,n,f,b,s,v
2907,n,f,b,s,y
2908,n,f,b,s,y
2909,n,f,b,s,y
2910,n,f,b,s,y
2911,n,f,b,s,y
2912,n,f,b,s,y
2913,n,f,b,s,v
2914,n,f,b,s,v
2915,n,f,b,s,y
2916,n,f,b,s,v
2917,n,f,b,s,y
2918,n,f,b,s,y
2919,n,f,b,s,y
2920,n,f,b,s,v
2921,n,f,b,s,y
2922,n,f,b,s,v
2923,n,f,b,s,y
2924,n,f,b,s,y
2925,n,f,b,s,y
2926,n,f,b,s,y
2927,f,f,b,k,y
2928,n,f,b,s,v
2929,n,f,b,s,y
2930,n,f,b,s,v
2931,n,f,b,s,v
2932,n,f,b,s,y
2933,n,f,b,s,y
2934,n,f,b,s,v
2935,n,f,b,s,v
2936,n,f,b,s,v
2937,n,f,b,s,v
2938,f,f,b,k,v
2939,n,f,b,s,y
2940,n,f,b,s,y
2941,n,f,b,s,v
2942,n,f,b,s,v
2943,n,f,b,s,y
2944,n,f,b,s,v
2945,n,f,b,s,v
2946,n,f,b,s,y
2947,n,f,b,s,y
2948,n,f,b,s,v
2949,n,f,b,s,v
2950,n,f,b,s,v
2951,n,f,b,s,y
2952,n,f,b,s,v
2953,n,f,b,s,y
2954,n,f,b,s,y
2955,n,f,b,s,y
2956,n,f,b,s,v
2957,n,f,b,s,y
2958,n,f,b,s,y
2959,n,f,b,s,y
2960,n,f,b,s,v
2961,n,f,b,s,v
2962,n,f,b,s,y
2963,n,f,b,s,y
2964,n,f,b,s,y
2965,n,f,b,s,y
2966,n,f,b,s,v
2967,n,f,b,f,s
2968,n,f,b,s,v
2969,n,f,b,s,y
2970,n,f,b,s,y
2971,n,f,b,s,y
2972,n,f,b,s,v
2973,n,f,b,s,v
2974,n,f,b,s,y
2975,n,f,b,s,y
2976,n,f,b,s,y
2977,n,f,b,s,v
2978,n,f,b,s,y
2979,n,f,b,s,y
2980,n,f,b,s,v
2981,n,f,b,s,v
2982,n,f,b,s,v
2983,n,f,b,s,v
2984,n,f,b,s,v
2985,n,f,b,s,y
2986,n,f,b,s,y
2987,n,f,b,s,y
2988,n,f,b,s,v
2989,n,f,b,s,y
2990,n,f,b,s,v
2991,f,f,b,k,v
2992,n,f,b,s,v
2993,n,f,b,s,y
2994,n,f,b,s,y
2995,n,f,b,s,v
2996,n,f,b,s,v
2997,n,f,b,s,y
2998,n,f,b,s,y
2999,n,f,b,s,v
3000,n,f,b,s,v
3001,n,f,b,s,v
3002,f,f,b,k,v
3003,n,f,b,s,y
3004,f,f,b,k,y
3005,c,f,n,s,s
3006,n,f,b,s,y
3007,n,f,b,s,v
3008,n,f,b,s,y
3009,n,f,b,s,y
3010,f,f,b,k,y
3011,n,f,b,s,v
3012,n,f,b,s,y
3013,n,f,b,s,y
3014,c,f,n,s,s
3015,n,f,b,s,y
3016,n,f,b,s,v
3017,f,f,b,k,v
3018,f,f,b,k,y
3019,n,f,b,s,v
3020,n,f,b,s,v
3021,n,f,b,s,v
3022,n,f,b,s,v
3023,n,f,b,s,y
3024,n,f,b,s,v
3025,n,f,b,s,y
3026,n,f,b,s,v
3027,c,f,n,s,s
3028,f,f,b,k,y
3029,n,f,b,s,y
3030,n,f,b,s,v
3031,n,f,b,s,v
3032,n,f,b,s,y
3033,n,f,b,s,y
3034,n,f,b,s,v
3035,f,f,b,k,v
3036,n,f,b,s,y
3037,n,f,b,s,v
3038,c,f,n,s,s
3039,n,f,b,s,y
3040,n,f,b,s,v
3041,f,f,b,k,v
3042,f,f,b,k,v
3043,n,f,b,s,v
3044,n,f,b,s,v
3045,n,f,b,s,v
3046,n,f,b,s,v
3047,n,f,b,s,v
3048,c,f,n,s,v
3049,n,f,b,s,y
3050,n,f,b,s,v
3051,n,f,b,s,y
3052,n,f,b,s,v
3053,c,f,n,s,v
3054,n,f,b,s,v
3055,n,f,b,s,y
3056,n,f,b,s,v
3057,n,f,b,s,v
3058,c,f,n,s,s
3059,c,f,n,s,s
3060,n,f,b,s,y
3061,f,f,b,k,y
3062,c,f,n,s,v
3063,f,f,b,k,v
3064,n,f,b,s,v
3065,f,f,b,k,y
3066,n,f,b,s,v
3067,n,f,b,s,y
3068,n,f,b,s,y
3069,c,f,n,s,s
3070,f,f,b,k,v
3071,n,f,b,s,v
3072,n,f,b,s,y
3073,n,f,b,s,y
3074,f,f,b,k,v
3075,n,f,b,s,y
3076,f,f,b,k,y
3077,n,f,b,s,y
3078,n,f,b,s,v
3079,f,f,b,k,v
3080,n,f,b,s,v
3081,n,f,b,s,y
3082,n,f,b,s,y
3083,f,f,b,k,v
3084,n,f,b,s,v
3085,n,f,b,s,v
3086,f,f,b,k,v
3087,n,f,b,s,y
3088,f,f,b,k,y
3089,n,f,b,s,y
3090,f,f,b,k,y
3091,f,f,b,k,y
3092,f,f,b,k,y
3093,n,f,b,s,y
3094,f,f,b,k,v
3095,n,f,b,s,v
3096,c,f,n,s,v
3097,n,f,b,s,v
3098,c,f,n,s,s
3099,n,f,b,s,y
3100,n,f,b,s,y
3101,n,f,b,s,y
3102,n,f,b,s,y
3103,f,f,b,k,y
3104,f,f,b,k,y
3105,c,f,n,s,s
3106,n,f,b,s,v
3107,n,f,b,s,y
3108,n,f,b,s,v
3109,n,f,b,s,y
3110,f,f,b,k,v
3111,c,f,n,s,v
3112,n,f,b,s,y
3113,n,f,b,s,v
3114,n,f,b,s,v
3115,n,f,b,s,v
3116,n,f,b,s,y
3117,n,f,b,s,y
3118,n,f,b,s,v
3119,c,f,n,s,v
3120,c,f,n,s,v
3121,n,f,b,s,y
3122,n,f,b,s,y
3123,f,f,b,k,y
3124,n,f,b,s,v
3125,c,f,n,s,s
3126,n,f,b,s,y
3127,n,f,b,s,y
3128,n,f,b,s,v
3129,n,f,b,s,v
3130,n,f,b,s,y
3131,n,f,b,s,v
3132,n,f,b,s,y
3133,n,f,b,s,y
3134,n,f,b,s,v
3135,n,f,b,s,y
3136,n,f,b,s,y
3137,n,f,b,s,v
3138,n,f,b,s,v
3139,f,f,b,k,v
3140,n,f,b,s,y
3141,n,f,b,s,v
3142,f,f,b,k,y
3143,n,f,b,s,y
3144,n,f,b,s,y
3145,n,f,b,s,y
3146,n,f,b,s,y
3147,n,f,b,s,v
3148,c,f,n,s,s
3149,c,f,n,s,s
3150,n,f,b,s,v
3151,n,f,b,s,y
3152,n,f,b,s,y
3153,f,f,b,k,y
3154,n,f,b,s,v
3155,n,f,b,s,y
3156,n,f,b,s,y
3157,c,f,n,s,s
3158,n,f,b,s,v
3159,n,f,b,s,v
3160,f,f,b,k,y
3161,n,f,b,s,y
3162,f,f,b,k,v
3163,c,f,n,s,s
3164,n,f,b,s,v
3165,f,f,b,k,v
3166,c,f,n,s,s
3167,f,f,b,k,v
3168,n,f,b,s,v
3169,f,f,b,k,v
3170,c,f,n,s,s
3171,n,f,b,s,y
3172,n,f,b,s,v
3173,n,f,b,s,y
3174,f,f,b,k,v
3175,c,f,n,s,v
3176,n,f,b,s,v
3177,n,f,b,s,y
3178,n,f,b,s,y
3179,n,f,b,s,v
3180,f,f,b,k,v
3181,n,f,b,s,v
3182,c,f,n,s,v
3183,c,f,n,s,s
3184,n,f,b,s,y
3185,n,f,b,s,y
3186,n,f,b,s,v
3187,n,f,b,s,v
3188,f,f,b,k,v
3189,f,f,b,k,y
3190,n,f,b,s,y
3191,f,f,b,k,v
3192,c,f,n,s,s
3193,n,f,b,s,y
3194,f,f,b,k,v
3195,n,f,b,s,y
3196,n,f,b,s,v
3197,n,f,b,s,y
3198,n,f,b,s,v
3199,n,f,b,s,v
3200,f,f,b,k,v
3201,n,f,b,s,y
3202,f,f,b,k,y
3203,n,f,b,s,y
3204,n,f,b,s,v
3205,n,f,b,s,y
3206,f,f,b,k,y
3207,n,f,b,s,v
3208,n,f,b,s,y
3209,f,f,b,k,v
3210,c,f,n,s,s
3211,n,f,b,s,v
3212,f,f,b,k,v
3213,n,f,b,s,y
3214,n,f,b,s,v
3215,n,f,b,s,v
3216,n,f,b,s,v
3217,n,f,b,s,v
3218,n,f,b,s,v
3219,c,f,n,s,v
3220,n,f,b,s,y
3221,n,f,b,s,y
3222,n,f,b,s,y
3223,n,f,b,s,y
3224,n,f,b,s,y
3225,n,f,b,s,v
3226,n,f,b,s,y
3227,f,f,b,k,y
3228,c,f,n,s,v
3229,n,f,b,s,v
3230,n,f,b,s,v
3231,n,f,b,s,v
3232,f,f,b,k,y
3233,c,f,n,s,s
3234,f,f,b,k,y
3235,n,f,b,s,y
3236,f,f,b,k,v
3237,n,f,b,s,y
3238,n,f,b,s,y
3239,n,f,b,s,v
3240,f,f,b,k,v
3241,n,f,b,s,y
3242,n,f,b,s,v
3243,c,f,n,s,s
3244,f,f,b,k,y
3245,n,f,b,s,y
3246,f,f,b,k,y
3247,f,f,b,k,y
3248,n,f,b,s,v
3249,f,f,b,k,y
3250,n,f,b,s,y
3251,n,f,b,s,y
3252,n,f,b,s,v
3253,n,f,b,s,y
3254,c,f,n,s,s
3255,n,f,b,s,v
3256,n,f,b,s,v
3257,n,f,b,s,v
3258,n,f,b,s,v
3259,c,f,n,s,v
3260,f,f,b,k,y
3261,n,f,b,s,y
3262,n,f,b,s,y
3263,c,f,n,s,v
3264,n,f,b,s,y
3265,f,f,b,k,y
3266,f,f,b,k,y
3267,n,f,b,s,y
3268,n,f,b,s,v
3269,c,f,n,s,v
3270,f,f,b,k,v
3271,c,f,n,s,s
3272,n,f,b,s,v
3273,n,f,b,s,v
3274,n,f,b,s,y
3275,f,f,b,k,y
3276,n,f,b,s,y
3277,c,f,n,s,v
3278,f,f,b,k,v
3279,n,f,b,s,y
3280,n,f,b,s,y
3281,f,f,b,k,v
3282,f,f,b,k,v
3283,c,f,n,s,v
3284,n,f,b,s,v
3285,f,f,b,k,v
3286,n,f,b,s,y
3287,n,f,b,s,v
3288,n,f,b,s,y
3289,n,f,b,s,y
3290,n,f,b,s,y
3291,n,f,b,s,y
3292,n,f,b,s,y
3293,c,f,n,s,s
3294,n,f,b,s,v
3295,n,f,b,s,v
3296,c,f,n,s,s
3297,n,f,b,s,y
